title,attributes
Contagion,"venice film festival (1), new york city, new york (1), premiere (3), blank (47), helsinki international film festival (1), zurich film festival (1), cambridge film festival (1), hamburg film festival (1), rio de janeiro international film festival (1), sitges film festival (1), paris (1), buenos aires (1), dvd premiere (1), film by the sea film festival (1), blu ray release (1), blu-ray release (1)"
The Descendants,"telluride film festival (1), premiere (1), toronto international film festival (1), new york film festival (1), gent international film festival (1), austin film festival (1), limited (3), thessaloniki international film festival (1), los angeles, california (1), new york city, new york (1), toronto (1), torino film festival (1), blank (53), dubai international film festival (1), tromsø international film festival (1), göteborg international film festival (1), belgrade film festival (1), beijing international film festival (1), shanghai international film festival (1), munich international film festival (1), reyjkavik international film festival (1), locarno film festival (1)"
Warrior,"blank (25), limited (2), dvd premiere (5), internet (3), dvd and blu-ray premiere (2), dvd and blu-ray and premiere (1), tv premiere (2), qualite fantastic cinema collection (1), blu-ray release (1)"
Drive,"cannes film festival (1), los angeles film festival (1), locarno film festival (1), empire big screen (1), deauville american film festival (1), toronto international film festival (1), l'étrange festival (1), blank (48), helsinki international film festival (1), athens film festival (1), donostia-san sebastian international film festival (1), rio de janeiro international film festival (1), amfest 11 american film festival (1), french speaking region (1), sitges film festival (1), amsterdam film week (1), stockholm international film festival (1), festival internacional de cinema negre de manresa (1), german speaking region (1), blu-ray release (1), belgrade film festival (1), cyprus film days (1), nicosia (1), film festival cologne (1), dvd premiere (1), limited (1), internet (1)"
Johnny English Reborn,"blank (49), london (1), premiere (2), internet (3), dvd premiere (2)"
Carnage,"venice film festival (1), italian speaking region (1), blank (45), opening night film (1), new york film festival (1), bfi london film festival (1), amsterdam film week (1), french speaking region (1), german speaking region (1), limited (2), göteborg international film festival (1), belgrade film festival (1), kawasaki shinyuri film festival (1), tateshinakogen film festival (1), sofia independent film festival (1), dvd premiere (1)"
Tinker Tailor Soldier Spy,"venice film festival (1), blank (43), gent international film festival (1), amsterdam film week (1), stockholm international film festival (1), tallinn black nights film festival (1), sofia (1), cinemania film festival (2), varna (1), limited (2), blu ray premiere (1), days of european film (1)"
John Carter,"los angeles, california (1), premiere (1), blank (58), blu ray premiere (1), dvd premiere (1)"
The Hunger Games,"los angeles, california (1), premiere (2), buenos aires (1), blank (71), deauville film festival (2), re-release (1)"
21 Jump Street,"south by southwest film festival (1), blank (83), german speaking region (1), blu-ray premiere (1), dvd premiere (3), shanghai international film festival (2)"
Wrath of the Titans,"buenos aires (1), premiere (1), blank (55), blu-ray release (1), dvd premiere (1), tv premiere (1)"
Sinister,"south by southwest film festival (1), austin fantastic fest (1), grimmfest international festival of fantastic film (1), blank (51), samain du cinema fantastique (1), stockholm international film festival (1), dvd premiere (3), blu-ray release (2), internet (1)"
Battleship,"tokyo (1), premiere (3), blank (62), belgrade (1), buenos aires (1), gokujo onkyo film festival (1), dvd premiere (1), internet (1)"
The Cabin in the Woods,"butt-numb-a-thon film festival (1), south by southwest film festival (1), atlanta film fest (1), dead by dawn horror film festival (1), blank (42), night visions film festival (1), imagine film festival (1), limited (3), neuchâtel international fantastic film festival (1), new zealand film festival (1), old town taito international comedy film festival (2), dvd premiere (4), sitges film festival (1), subtitled version (2), barcelona - phenomena (1), event (1), tv premiere (1), dubbed version (1), event re-release (1)"
The Avengers,"los angeles, california (1), premiere (1), blank (83), tribeca film festival (1), catalina film festival (1), greek film archive (1), dvd and blu-ray premiere (1), beijing international film festival (2), 3-d version (1), imax re-release (1), disney+ premiere (1)"
Dark Shadows,"blank (58), shanghai international film festival (1), blu-ray premiere (1), dvd premiere (1)"
The Dictator,"blank (64), german speaking region (1), biografilm festival (1), italian speaking region (1), french speaking region (1), buenos aires (1), premiere (1), internet (2), dvd premiere (1), tv premiere (1)"
Men in Black 3,"berlin (1), premiere (2), blank (63), amsterdam (1), internet (3), tv premiere (1)"
Prometheus,"paris (1), premiere (2), blank (73), french speaking region (1), limited (3), london (1), 3d version (1), german speaking region (1), italian speaking region (1), beijing international film festival (1)"
Snow White and the Huntsman,"london (1), premiere (1), blank (72), german speaking region (1), italian speaking region (1), champs-elysées film festival (1), french speaking region (1), shanghai international film festival (1)"
Madagascar 3: Europe's Most Wanted,"cannes film festival (1), blank (74), old town taito international comedy film festival (1)"
