title,imdb_id
Red Notice,tt7991608
Spencer,tt12536294
Sooryavanshi,tt9531772
Belfast,tt12789558
Ghostbusters: Afterlife,tt4513678
King Richard,tt9620288
House of Gucci,tt11214590
Resident Evil: Welcome to Raccoon City,tt6920084
Sing 2,tt6467266
Nightmare Alley,tt7740496
Don't Look Up,tt11286314
West Side Story,tt3581652
Spider-Man: No Way Home,tt10872600
The Lost Daughter,tt9100054
The Matrix Resurrections,tt10838180
The King's Man,tt6856242
Scream,tt11245972
Death on the Nile,tt7657566
Uncharted,tt1464335
Ambulance,tt4998632
Speak No Evil,tt14253846
The Bad Guys,tt8115900
X,tt13560574
The Lost City,tt13320622
Everything Everywhere All at Once,tt6710474
RRR,tt8178634
Morbius,tt5108870
Sonic the Hedgehog 2,tt12412888
Fantastic Beasts: The Secrets of Dumbledore,tt4123432
The Northman,tt11138512
K.G.F: Chapter 2,tt10698680
The Unbearable Weight of Massive Talent,tt11291274
Doctor Strange in the Multiverse of Madness,tt9419884
Chip 'n Dale: Rescue Rangers,tt3513500
Men,tt13841850
Top Gun: Maverick,tt1745960
Crimes of the Future,tt14549466
Jurassic World Dominion,tt8041270
Vikram,tt9179430
Watcher,tt12004038
Lightyear,tt10298810
The Black Phone,tt7144666
Elvis,tt3704428
Minions: The Rise of Gru,tt5113044
Thor: Love and Thunder,tt10648342
The Gray Man,tt1649418
Where the Crawdads Sing,tt9411972
Nope,tt10954984
DC League of Super-Pets,tt8912936
Orphan: First Kill,tt11851548
Bullet Train,tt12593682
Bodies Bodies Bodies,tt8110652
Fall,tt15325794
Emily the Criminal,tt15255876
Three Thousand Years of Longing,tt9198364
Pearl,tt18925334
The Woman King,tt8093700
Don't Worry Darling,tt10731256
Smile,tt15474916
Amsterdam,tt10304142
Bros,tt9731598
Kantara,tt15327088
Ponniyin Selvan: Part I,tt10701074
Terrifier 2,tt10403420
Halloween Ends,tt10665342
Black Adam,tt6443346
The Banshees of Inisherin,tt11813216
Living,tt9051908
Black Panther: Wakanda Forever,tt9114286
The Fabelmans,tt14208870
She Said,tt11198810
The Menu,tt9764362
Bones and All,tt10168670
Glass Onion: A Knives Out Mystery,tt11564570
Strange World,tt10298840
White Noise,tt6160448
Violent Night,tt12003946
Puss in Boots: The Last Wish,tt3915174
The Whale,tt13833688
Avatar: The Way of Water,tt1630029
Babylon,tt10640346
Women Talking,tt13669038
A Man Called Otto,tt7405458
M3GAN,tt8760708
Operation Fortune: Ruse de Guerre,tt7985704
Thunivu,tt15163652
Plane,tt5884796
Missing,tt10855768
Pathaan,tt12844910
Winnie the Pooh: Blood and Honey,tt19623240
Infinity Pool,tt10365998
Knock at the Cabin,tt15679400
BlackBerry,tt21867434
Ant-Man and the Wasp: Quantumania,tt10954600
Cocaine Bear,tt14209916
Creed III,tt11145118
65,tt12261776
Scream VI,tt17663992
Shazam! Fury of the Gods,tt10151854
John Wick: Chapter 4,tt10366206
Dungeons & Dragons: Honor Among Thieves,tt2906216
"Are You There God? It's Me, Margaret.",tt9185206
The Pope's Exorcist,tt13375076
The Super Mario Bros. Movie,tt6718170
Renfield,tt11358390
Evil Dead Rise,tt13345606
Beau Is Afraid,tt13521006
Nefarious,tt14537248
Guy Ritchie's The Covenant,tt4873118
Guardians of the Galaxy Vol. 3,tt6791350
Fast X,tt5433140
The Little Mermaid,tt5971474
Spider-Man: Across the Spider-Verse,tt9362722
The Boogeyman,tt3427252
Transformers: Rise of the Beasts,tt5090568
The Flash,tt0439572
Elemental,tt15789038
No Hard Feelings,tt15671028
Adipurush,tt12915716
Indiana Jones and the Dial of Destiny,tt1462764
Sound of Freedom,tt7599146
A Haunting in Venice,tt22687790
Dumb Money,tt13957560
Expend4bles,tt3291150
Saw X,tt21807222
The Creator,tt11858890
