title,blank,internet,total
Jumanji: Welcome to the Jungle,60,2,75
Star Wars: The Last Jedi,66,0,74
The Greatest Showman,56,1,62
All the Money in the World,60,1,66
Downsizing,54,0,71
Hostiles,27,0,45
The Post,54,0,69
Maze Runner: The Death Cure,72,1,74
The Commuter,57,0,59
12 Strong,50,0,57
Den of Thieves,50,2,61
Terrifier,6,12,36
Black Panther,76,0,83
Game Night,50,3,54
Red Sparrow,60,2,67
"Love, Simon",44,1,64
Annihilation,5,30,45
Tomb Raider,74,0,81
Blockers,43,1,46
Pacific Rim: Uprising,56,1,62
Isle of Dogs,51,0,69
Ready Player One,60,2,78
A Quiet Place,62,2,69
Avengers: Infinity War,78,0,87
Deadpool 2,71,0,92
Solo: A Star Wars Story,59,0,62
Burning,34,0,155
First Reformed,11,1,55
Tag,40,3,46
Upgrade,23,4,49
American Animals,17,1,51
Jurassic World: Fallen Kingdom,63,1,69
Hereditary,51,0,60
Hotel Artemis,41,0,46
Ocean's Eight,57,2,67
Incredibles 2,78,0,84
Sicario: Day of the Soldado,55,0,63
Hotel Transylvania 3: Summer Vacation,63,0,69
Sanju,19,2,26
Ant-Man and the Wasp,73,0,80
Sorry to Bother You,12,5,43
Skyscraper,59,1,60
Mamma Mia! Here We Go Again,59,1,67
The Equalizer 2,54,2,58
Mission: Impossible - Fallout,64,2,76
Christopher Robin,68,0,74
The Spy Who Dumped Me,54,1,59
Under the Silver Lake,27,1,51
BlacKkKlansman,38,1,69
The Meg,62,2,68
Summer of 84,8,1,38
Crazy Rich Asians,66,3,77
Mile 22,49,0,53
Searching,55,1,77
Operation Finale,2,24,28
The Upside,41,5,55
Glass,58,0,67
Alita: Battle Angel,69,0,81
The Lego Movie 2: The Second Part,62,1,65
Happy Death Day 2U,50,0,52
Isn't It Romantic,7,21,31
Fighting with My Family,35,1,44
Captain Marvel,66,0,75
Five Feet Apart,87,2,92
Hotel Mumbai,45,4,73
Us,60,1,62
Dumbo,59,0,67
Shazam!,58,1,62
Pet Sematary,55,0,62
Hellboy,58,0,62
After,44,4,49
Avengers: Endgame,75,0,101
Brightburn,54,1,56
The Hustle,54,2,57
John Wick: Chapter 3 - Parabellum,90,2,98
The Dead Don't Die,32,3,57
Rocketman,54,1,67
Aladdin,68,0,79
Booksmart,34,2,49
The Secret Life of Pets 2,58,0,63
Godzilla: King of the Monsters,64,3,73
Ma,45,1,49
Parasite,52,1,144
Dark Phoenix,61,0,64
Toy Story 4,68,0,75
Annabelle Comes Home,67,0,71
Yesterday,59,0,72
Spider-Man: Far From Home,67,0,72
Midsommar,46,0,60
Crawl,57,1,59
The Farewell,29,1,59
The Lion King,67,1,73
Fast & Furious Presents: Hobbs & Shaw,63,2,71
Scary Stories to Tell in the Dark,53,0,61
Good Boys,45,1,49
Angel Has Fallen,57,1,61
Ready or Not,50,0,59
Uncut Gems,4,29,47
Army of the Dead,2,38,41
F9,81,2,90
A Quiet Place Part II,58,1,64
The Conjuring: The Devil Made Me Do It,53,2,59
Cruella,60,5,71
In the Heights,40,3,49
Hitman's Wife's Bodyguard,56,3,64
Luca,45,25,75
The Forever Purge,42,4,55
Escape Room: Tournament of Champions,82,3,88
Black Widow,57,5,68
Space Jam: A New Legacy,51,4,57
Pig,23,6,56
Old,80,0,86
Snake Eyes: G.I. Joe Origins,53,2,58
Jungle Cruise,50,5,59
The Suicide Squad,54,2,62
Stillwater,25,7,42
The Green Knight,38,9,56
Free Guy,70,4,80
Don't Breathe 2,47,4,52
CODA,15,24,57
Drive My Car,30,3,85
Reminiscence,50,3,61
Candyman,51,0,55
Malignant,50,4,55
Shang-Chi and the Legend of the Ten Rings,60,5,70
The Tomorrow War,1,32,35
Copshop,37,8,47
Dune,75,1,111
No Time to Die,65,1,79
Venom: Let There Be Carnage,61,1,66
Old Henry,5,10,25
Encanto,90,2,100
The Last Duel,49,1,59
Halloween Kills,60,3,69
Last Night in Soho,54,1,79
Antlers,45,1,54
Army of Thieves,0,39,39
Eternals,68,1,77
Red Notice,7,35,47
Spencer,45,1,76
Sooryavanshi,10,4,26
Belfast,33,1,73
Ghostbusters: Afterlife,59,2,71
King Richard,46,3,66
House of Gucci,55,0,68
Resident Evil: Welcome to Raccoon City,46,5,56
Sing 2,56,2,65
Nightmare Alley,49,2,61
Don't Look Up,7,32,61
West Side Story,57,1,71
Spider-Man: No Way Home,69,1,112
The Lost Daughter,18,22,65
The Matrix Resurrections,77,4,87
The King's Man,67,0,71
Scream,62,3,71
Death on the Nile,50,1,55
Uncharted,56,1,61
Ambulance,55,1,64
Speak No Evil,12,2,41
The Bad Guys,63,2,68
X,27,1,39
The Lost City,51,3,58
Everything Everywhere All at Once,50,5,86
RRR,20,10,52
Morbius,51,2,55
Sonic the Hedgehog 2,67,2,73
Fantastic Beasts: The Secrets of Dumbledore,44,1,46
The Northman,70,1,79
K.G.F: Chapter 2,18,2,23
The Unbearable Weight of Massive Talent,45,3,54
Doctor Strange in the Multiverse of Madness,45,1,47
Chip 'n Dale: Rescue Rangers,0,62,64
Men,34,2,44
Top Gun: Maverick,49,1,71
Crimes of the Future,27,5,68
Jurassic World Dominion,58,1,70
Vikram,9,4,17
Watcher,6,5,33
Lightyear,66,2,69
The Black Phone,53,1,65
Elvis,61,2,70
Minions: The Rise of Gru,89,12,105
Thor: Love and Thunder,90,1,94
The Gray Man,3,29,42
Where the Crawdads Sing,47,0,52
Nope,59,2,76
DC League of Super-Pets,51,1,56
Orphan: First Kill,34,2,54
Bullet Train,53,1,73
Bodies Bodies Bodies,18,9,39
Fall,32,5,42
Emily the Criminal,2,9,28
Three Thousand Years of Longing,39,4,58
Pearl,9,4,41
The Woman King,71,2,83
Don't Worry Darling,42,2,51
Smile,41,2,49
Amsterdam,40,2,49
Bros,29,2,45
Kantara,9,4,20
Ponniyin Selvan: Part I,13,1,16
Terrifier 2,26,4,38
Halloween Ends,59,2,70
Black Adam,45,0,45
The Banshees of Inisherin,39,4,94
Living,18,2,60
Black Panther: Wakanda Forever,45,2,49
The Fabelmans,50,1,74
She Said,39,1,67
The Menu,44,3,71
Bones and All,34,2,53
Glass Onion: A Knives Out Mystery,3,30,50
Strange World,55,4,60
White Noise,5,27,61
Violent Night,45,3,50
Puss in Boots: The Last Wish,68,1,78
The Whale,37,1,67
Avatar: The Way of Water,111,1,126
Babylon,51,2,58
Women Talking,30,2,66
A Man Called Otto,44,0,49
M3GAN,78,3,89
Operation Fortune: Ruse de Guerre,47,7,57
Thunivu,10,3,14
Plane,44,1,48
Missing,47,4,53
Pathaan,31,3,40
Winnie the Pooh: Blood and Honey,42,3,56
Infinity Pool,11,2,22
Knock at the Cabin,43,1,55
BlackBerry,16,6,43
Ant-Man and the Wasp: Quantumania,52,3,55
Cocaine Bear,57,1,62
Creed III,45,1,48
65,63,0,63
Scream VI,44,2,54
Shazam! Fury of the Gods,48,2,54
John Wick: Chapter 4,65,2,73
Dungeons & Dragons: Honor Among Thieves,44,4,58
"Are You There God? It's Me, Margaret.",6,6,21
The Pope's Exorcist,42,0,43
The Super Mario Bros. Movie,84,2,90
Renfield,49,2,59
Evil Dead Rise,38,2,44
Beau Is Afraid,40,2,52
Nefarious,13,3,19
Guy Ritchie's The Covenant,26,13,40
Guardians of the Galaxy Vol. 3,64,4,73
Fast X,52,1,61
The Little Mermaid,71,1,77
Spider-Man: Across the Spider-Verse,133,2,146
The Boogeyman,41,1,43
Transformers: Rise of the Beasts,53,2,66
The Flash,49,2,51
Elemental,90,0,95
No Hard Feelings,48,6,54
Adipurush,10,6,20
Indiana Jones and the Dial of Destiny,54,1,63
Sound of Freedom,64,2,88
A Haunting in Venice,90,0,92
Dumb Money,37,0,43
Expend4bles,47,1,55
Saw X,72,0,78
The Creator,84,1,98
Freelance,28,6,34
The Promised Land,26,0,46
Trolls Band Together,52,1,57
Leo,13,4,21
Five Nights at Freddy's,111,2,120
Priscilla,38,2,64
The Holdovers,36,1,74
Godzilla Minus One,32,7,70
The Marvels,52,2,56
Dream Scenario,36,1,66
Tiger 3,15,2,18
Wish,62,3,72
The Hunger Games: The Ballad of Songbirds & Snakes,50,0,54
May December,29,9,71
Next Goal Wins,38,1,44
Saltburn,5,15,40
Thanksgiving,38,1,43
Animal,9,2,13
Eileen,5,5,27
Migration,46,1,53
Robot Dreams,30,0,75
Wonka,50,2,56
Poor Things,41,4,91
Ferrari,40,6,54
Aquaman and the Lost Kingdom,65,1,66
Anyone But You,39,1,42
Dunki,14,2,19
Salaar: Part 1 - Ceasefire,11,1,19
The Iron Claw,33,3,44
All of Us Strangers,21,2,59
The Color Purple,28,2,42
Night Swim,39,2,46
The Beekeeper,49,3,55
Kinds of Kindness,33,3,55
Bad Boys: Ride or Die,46,1,57
The Watchers,39,1,47
Inside Out 2,67,2,77
The Bikeriders,38,1,57
Despicable Me 4,54,1,60
A Quiet Place: Day One,50,1,57
Kalki 2898-AD,24,3,31
MaXXXine,31,1,42
Longlegs,47,1,63
Twisters,55,1,62
Deadpool & Wolverine,64,1,69
Trap,39,1,44
Borderlands,41,2,48
It Ends with Us,44,1,46
Alien: Romulus,52,2,61
Strange Darling,29,2,47
Beetlejuice Beetlejuice,59,1,68
The Substance,43,2,79
Transformers One,56,1,63
The Wild Robot,53,1,65
I'm Still Here,43,0,89
Mufasa: The Lion King,53,4,63
Sonic the Hedgehog 3,56,2,60
The Brutalist,48,1,97
Babygirl,44,1,53
Nosferatu,58,1,73
Den of Thieves 2: Pantera,42,3,47
Game Changer,8,1,10
Wolf Man,43,1,49
Presence,42,1,58
Companion,45,1,50
Flight Risk,42,2,47
Ne Zha 2,59,1,65
Heart Eyes,10,3,16
Bridget Jones: Mad About the Boy,45,2,47
Captain America: Brave New World,69,2,78
Chhaava,6,1,10
The Monkey,49,2,59
Last Breath,19,5,27
Mickey 17,55,4,69
The Ugly Stepsister,34,1,54
Black Bag,48,3,62
Novocaine,47,1,51
Snow White,60,2,68
The Alto Knights,16,6,23
The Assessment,1,9,23
A Working Man,43,4,49
Death of a Unicorn,12,4,25
The Woman in the Yard,15,3,24
A Minecraft Movie,51,2,55
Eden,15,11,30
Fight or Flight,26,8,39
The Amateur,53,2,59
Drop,40,2,47
Sinners,54,2,72
Until Dawn,42,1,45
Thunderbolts*,56,2,63
Karate Kid: Legends,50,0,57
Friendship,4,2,20
Final Destination Bloodlines,49,2,62
Lilo & Stitch,58,2,63
Mission: Impossible - The Final Reckoning,52,1,67
The Phoenician Scheme,38,1,43
Bring Her Back,65,2,73
Ballerina,58,1,64
The Life of Chuck,54,0,61
Materialists,64,1,70
28 Years Later,55,0,58
Elio,74,2,81
KPop Demon Hunters,0,36,52
M3GAN 2.0,48,0,51
"Sorry, Baby",22,2,46
Jurassic World Rebirth,77,2,87
Smurfs,80,1,89
Superman,56,2,71
Eddington,26,1,39
I Know What You Did Last Summer,39,0,39
Demon Slayer: Kimetsu no Yaiba Infinity Castle,100,1,102
The Fantastic 4: First Steps,54,2,62
The Secret Agent,14,0,64
The Bad Guys 2,98,1,102
Mahavatar Narsimha,6,3,11
Together,42,0,52
The Naked Gun,73,2,76
Weapons,81,3,84
Freakier Friday,79,2,84
Nobody 2,81,1,83
Highest 2 Lowest,0,15,19
Witchboard,4,0,5
Americana,1,0,4
Afterburn,42,2,45
Honey Don't!,11,1,17
Splitsville,43,0,51
Red Rain,1,0,1
Caught Stealing,63,0,63
The Roses,83,2,87
Lokah Chapter 1: Chandra,2,1,9
The Conjuring: Last Rites,90,2,93
Downton Abbey: The Grand Finale,60,1,62
The Long Walk,77,0,77
Gabby's Dollhouse: The Movie,92,0,92
A Big Bold Beautiful Journey,84,0,88
HIM,64,0,65
The Senior,3,0,4
One Battle After Another,97,1,105
Detective Pikachu,62,2,69
The Accountant 2,40,3,49
Tár,37,1,59
WALL-E,72,1,105
