title,blank,internet,total,internet_total_ratio,internet_dominance
Shang-Chi and the Legend of the Ten Rings,60,5,70,0.07,no
Halloween Kills,60,3,69,0.04,no
Snow White,60,2,68,0.03,no
Downton Abbey: The Grand Finale,60,1,62,0.02,no
Journey to the Center of the Earth,61,0,71,0.00,no
Miss Peregrine's Home for Peculiar Children,61,0,63,0.00,no
Inferno,61,2,69,0.03,no
The Boss Baby,61,1,63,0.02,no
Alien: Covenant,61,1,70,0.01,no
Dark Phoenix,61,0,64,0.00,no
Venom: Let There Be Carnage,61,1,66,0.02,no
Elvis,61,2,70,0.03,no
The Smurfs,62,2,68,0.03,no
Battleship,62,1,71,0.01,no
Divergent,62,0,72,0.00,no
Captain America: The Winter Soldier,62,0,73,0.00,no
Neighbors,62,1,68,0.01,no
Paper Towns,62,1,65,0.02,no
Everest,62,2,74,0.03,no
Money Monster,62,0,64,0.00,no
The Nice Guys,62,1,76,0.01,no
Dunkirk,62,2,76,0.03,no
Murder on the Orient Express,62,1,70,0.01,no
The Shape of Water,62,0,118,0.00,no
A Quiet Place,62,2,69,0.03,no
The Meg,62,2,68,0.03,no
The Lego Movie 2: The Second Part,62,1,65,0.02,no
Scream,62,3,71,0.04,no
Wish,62,3,72,0.04,no
Detective Pikachu,62,2,69,0.03,no
Men in Black 3,63,3,71,0.04,no
Captain Phillips,63,1,76,0.01,no
Cinderella,63,0,70,0.00,no
Independence Day: Resurgence,63,0,66,0.00,no
Sully,63,1,74,0.01,no
Pirates of the Caribbean: Dead Men Tell No Tales,63,0,68,0.00,no
Transformers: The Last Knight,63,1,72,0.01,no
Baby Driver,63,2,78,0.03,no
Paddington 2,63,1,76,0.01,no
Jurassic World: Fallen Kingdom,63,1,69,0.01,no
Hotel Transylvania 3: Summer Vacation,63,0,69,0.00,no
Fast & Furious Presents: Hobbs & Shaw,63,2,71,0.03,no
The Bad Guys,63,2,68,0.03,no
65,63,0,63,0.00,no
Caught Stealing,63,0,63,0.00,no
The Dictator,64,2,74,0.03,no
How to Train Your Dragon 2,64,1,80,0.01,no
Alice Through the Looking Glass,64,1,69,0.01,no
Assassin's Creed,64,1,74,0.01,no
The Mummy,64,1,73,0.01,no
Mission: Impossible - Fallout,64,2,76,0.03,no
Godzilla: King of the Monsters,64,3,73,0.04,no
Guardians of the Galaxy Vol. 3,64,4,73,0.05,no
Sound of Freedom,64,2,88,0.02,no
Deadpool & Wolverine,64,1,69,0.01,no
Materialists,64,1,70,0.01,no
HIM,64,0,65,0.00,no
Iron Man,65,0,90,0.00,no
Evil Dead,65,0,73,0.00,no
Oblivion,65,1,84,0.01,no
Prisoners,65,0,76,0.00,no
Noah,65,2,91,0.02,no
The Legend of Tarzan,65,0,71,0.00,no
Arrival,65,1,91,0.01,no
Guardians of the Galaxy Vol. 2,65,0,72,0.00,no
Wonder Woman,65,0,76,0.00,no
No Time to Die,65,1,79,0.01,no
John Wick: Chapter 4,65,2,73,0.03,no
Aquaman and the Lost Kingdom,65,1,66,0.02,no
Bring Her Back,65,2,73,0.03,no
The Chronicles of Narnia: Prince Caspian,66,0,69,0.00,no
