title,id,vote_average,vote_count,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
Pathaan,864692,6.4,215,44951,127180000,146,30270000,tt12844910,hi,पठान,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",4.5796,There is a storm coming. Fasten your seatbelt.,"Action, Adventure, Thriller","Yash Raj Films, Pathaan Productions, Palma Pictures, FPS Productions, NSA Picture, ODU Movies","India, Italy, Spain, Turkey",हिन्दी,"Artur Dorogovenko, Ruslan Raisovich Mustafin, Nikolay Novomlinsky, Guneet Sharma, Aishwarya Shetty, Karishma Singh, Nikhat Khan, Keith Sequeira, Stanislav Iurovskikh, Emmanuel Chinwuba, Serafima Zhukova, Ankita Mandlik, Rumi Khan, Viraf Patel, Mirko Quaini, John Abraham, Rachel Mullins, Shah Rukh Khan, Ashutosh Singh, Rakesh Khatri, Jairoop Jeevan, Prashant Makwana, Aritro Rudraneil Banerjee, Grace Girdhar, Dimple Kapadia, Diganta Hazarika, Deepika Padukone, Jayna Ruchandani, Akash Bhatija, Ekta Kaul, Amanpreet Hundal, Jyantino Albuquerque, Sergey Andreevich Hramov, Jerry Ezeh, Manish Wadhwa, Shaji Choudhary, Salman Khan, Rajat Kaul, Amrita Mishra, Mustafa Aksari, Alexander Stepikov, Andrei Blitznetsov, Christopher James Collins, Dmitri Ivanov, Prakash Belawadi, Prem Jhangiani, Bashir Lone, Nishi Yadav, Neil Pednekar, Jeffrey Goldberg, Ashutosh Rana, Renata Puppin, Mansi Taxak",Siddharth Anand,Satchith Paulose,"Abbas Tyrewala, Siddharth Anand, Shridhar Raghavan, Kumaar","Padam Bhushan, Aditya Chopra","Ankit Balhara, Sanchit Balhara, Vishal Dadlani, Shekhar Ravjiani",5.8,164138,/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg
Patriots Day,388399,7.1,2724,42716,50548152,133,45000000,tt4572514,en,Patriots Day,"In the aftermath of an unspeakable act of terror, Police Sergeant Tommy Saunders joins courageous survivors, first responders and investigators in a race against the clock to hunt down the Boston Marathon bombers before they strike again.",5.4214,The inside story of the world's greatest manhunt.,"Action, Crime, Drama, History, Thriller","TIK Films, CBS Films, Closest to the Hole Productions, Bluegrass Films, Hutch Parker Entertainment, Leverage Entertainment, Lionsgate","Hong Kong, United States of America","العربية, English, 普通话","Paige MacLean, Martine Assaf, Curtis J. Bellafiore, Kathy Harum, Jay Karales, Arthur Wahlberg, Themo Melikidze, Jake Picking, Token, Peter Berg, Elijah Guo, Dean Neistat, Alex Wolff, Brandon Wahlberg, Adam Trese, Mark Wahlberg, Anthony Molinari, Colleen Kelly, Kelby Turner Akin, Cliff Moylan, Jay Giannone, Dicky Eklund Jr., Sean Avery, Pamela Amicy, Dustin Tucker, Erica McDermott, John Goodman, Rachel Brosnahan, Jin Yang Brancalhao, Vincent Curatola, Cara Leroy O'Connell	, J.K. Simmons, John Franchi, David Ortiz, Billy Smith, Linda Klein, Jimmy O. Yang, Khandi Alexander, Kevin Bacon, Anthony ""Ace"" Thomas, Kevin Molis, Michael Beach, John Fiore, Katrine Hoyt, Michelle Monaghan, Lucas Thor Kelley, Brent Saunders, Lana Condor, Hampton Fluker, James Colby, Alexandria Tait, Chris O'Shea, Melissa Benoist",Peter Berg,Tobias A. Schliessler,"Joshua Zetumer, Paul Tamasy, Eric Johnson, Peter Berg, Matt Cook","Dan Wilson, Scott Stuber, Paul Tamasy, Hutch Parker, Louis G. Friedman, Michael Radutzky, Eric Johnson, Nicholas Nesbitt, Long Qiuyun, John Logan Pierson, Stephen Levinson, Dorothy Aufiero, Mark Wahlberg, Dylan Clark","Trent Reznor, Atticus Ross",7.3,120492,/mIDxsJTrOC7NhgOo3GziiHyKfsQ.jpg
Paul Blart: Mall Cop 2,256961,5.2,1631,42110,107597242,94,38000000,tt3450650,en,Paul Blart: Mall Cop 2,"Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a heist - and it's up to Blart to apprehend the criminals.",8.0856,Vegas has a new high roller.,"Action, Comedy, Family","Columbia Pictures, Hey Eddie, LStar Capital, Happy Madison Productions, Broken Road Productions",United States of America,English,"Richie Minervini, Rob Magnotti, Ryan Parsons, Adhir Kalyan, Vic Dibitetto, Raini Rodriguez, Ludivine Perrin-Stsepaniuk, Kristina Underwood, Joe Childs, Tarrell Ervin, David Henrie, Miguel Reyes, Aubree Balkan, Steffiana De La Cruz, Neal McDonough, Nichelle Hines, Josh Fried, Lauren Ash, Tamila Bilalova, Daniel Guire, Nikki Tyler-Flynn, Williams Rodriguez, Alexandra Stabler, Dean Christie, Leif Gantvoort, Michael Wynn, Max Alexander, Megan Fabyan Campbell, Ana Gasteyer, Shirley Knight, Leif Manson, Erica Ficarrotta, Benoit Beaufils, Cory DeMeyers, Jackie Sandler, Hudson West, Deven May, Daniella Alonso, LaToya Tonodeo, Kevin James, Andrea Wynn, Chelsea Vincent, John Joseph, Colby Lemmo, Nicholas Turturro, Paula Trickey, Geovanni Gopradi, Michelle Rubino, George Klein, Chelsea Bakken, Jackie Benoit, Jared Sandler, Chris Titone, Bas Rutten, Ryan Hanna, Gabriel Nunez, Scott Henry, Todd Garner, Timothy Johnson, Zachary Morris, Steve Wynn, Sienna James, Lorenzo James Henrie, Eric Chambray, Eric Genuis, Bob Clendenin, Bill Blair, Chris Monty, David Underwood, Loni Love, Javier DelPrado, Carrie Dragland, Gary Valentine, Shelly Desai, Amber Dutenhoeffer, Mark DellaGrotte, Michelle Derstine, Spencer Mathey, Kelly McDonald, Deana Deatherage, Brian Thoe, Nico Santos, Eduardo Verástegui, Greg Vaccariello, Christopher Grabowski, D.B. Woodside, Rachael Simon, Shea James, Mike Burton, Daryl Morris, Conrad Goode, Dustin Walston",Andy Fickman,Dean Semler,"Nick Bakay, Kevin James","Jeff Sussman, Jack Giarraputo, Kevin James, Todd Garner, Ben Waisbren, Marty P. Ewing, Adam Sandler",Rupert Gregson-Williams,4.5,43750,/qML63w7vgspicwLK6xXGLK17cM0.jpg
"Paul, Apostle of Christ",476968,7.6,384,43182,25915966,108,5000000,tt7388562,en,"Paul, Apostle of Christ","Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",3.0526,Where sin abounds... grace abounds more,Drama,"Outside Da Box, Affirm Films, ODB Films",United States of America,"English, Español","André Agius, Vladislav Ilich, Philip Mizzi, Stephen Caruana, Alexandra Vino, Yorgos Karamihos, Nora Jolie Eckermann, John-Paul Pace, Jim Caviezel, Nina Sultana, Husam Chadat, Mikhail Basmadjian, Joe Azzopardi, Sarah Michelle Attard, Christopher Dingli, Anthony Edridge, Manuel Cauchi, Daryl Vassallo, John Lynch, Joanne Whalley, Jacob Daniel Groth, Nikovich Sammut, Kenneth Spiteri, Alessandro Sperduti, Iskander El Hag Aisa, Olivier Martinez, Stephen Buhagiar, Graham Charles, Anthony Ellul, Natalie Rossignaud, Mario Opinato, Erica Muscat, Antonia Campbell-Hughes, Edward Mercieca, James Faulkner, Noah Huntley, Henry Holland",Andrew Hyatt,0,"Andrew Hyatt, Terence Berden","Eric Groth, David Zelon, Harrison Powell, Rick Jackson, Terence Berden",Jan A. P. Kaczmarek,6.7,11020,/2NUXG94dGMKYgJL1BkJGKynMb3l.jpg
Paws of Fury: The Legend of Hank,366672,6.7,319,44756,42500000,94,45000000,tt4428398,en,Paws of Fury: The Legend of Hank,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",4.268,Time to mark some territory.,"Animation, Adventure, Comedy, Family","Flying Tigers Entertainment, Aniventure, HB Wink Animation, Cinesite Animation, Align, GFM Animation, Brooksfilms Ltd., Mass Animation, Blazing Productions, Paramount Pictures, Nickelodeon Movies","Canada, China, United Kingdom, United States of America",English,"Zoe Minkoff, Ranjani Brow, Rif Hutton, Kelly Stables, Jeff Fischer, Jason Griffith, Juan Pacheco, William Calvert, Kirk Baily, Stephen Apostolina, Gabriel Iglesias, Floyd Van Buskirk, Michelle Yeoh, Rob Minkoff, Ashley Lambert, George Takei, Matthew Wolf, Michael Cera, Ricky Gervais, David Chen, Kylie Kuioka, Edie Mirman, Larry Herron, Michelle Ruff, Terence Mathews, David Michie, Matt Corboy, Scott Menville, Mel Brooks, Warren Sroka, Lex Lang, Miles Clark, Tom McGrath, Cathy Shim, Jaquita Ta'le, Steve Blum, Djimon Hounsou, Aasif Mandvi, Kirk Wise, Samuel L. Jackson, Arianna Trames, Seth Clark, Bridget Hoffman","Rob Minkoff, Chris Bailey, Mark Koetsier",0,"Mel Brooks, James Wootton, Miles Thompson, Henry Yu, Richard Pryor, Andrew Bergman, Norman Steinberg, Alan Uger, Nate Hopper, Jeff Dickson, Ed Stone, Andrew Gaskill","Yair Landau, Pietro Ventani, Martin Metz, Adrian Politowski, Fred Hedman, Wang Zhonglei, Dave Rosenbaum, Antony Hunt, Damien Simonklein, Richard Hodsden, Rob Minkoff, Steve Hamilton Shaw, Ben White, Nate Hopper, Michael Ryan, Alexandra Schwartz, Susan Purcell, Duncan Rodger, Warren Franklin, Reginald Hudlin, Ivan Epstein, Sean Feeney, Ed Stone, Mel Brooks, Kevin Salter, Philip J. Brown, Peter Nagle, Eamonn Butler, Adam Nagle, Alex Schwartz, Wang Zhongjun, Ollie McGovern, Guy Collins",Bear McCreary,5.8,7358,/wMDUDwAArpfGdtTTZ25SfwngGwt.jpg
Pearl,949423,7.24,2374,44820,10139416,102,1000000,tt18925334,en,Pearl,"Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations, and repressions collide.",10.3604,An X-traordinary origin story.,"Horror, Thriller","A24, Little Lamb Productions",United States of America,"English, Deutsch","Grace Acheson, Tandi Wright, Mia Goth, Alistair Sewell, Shaman Theron, Lauren Stewart, Matthew Sunderland, Amelia Reid, Gabe McDonnell, Todd Rippon, David Corenswet, Emma Jenkins-Purro",Ti West,Eliot Rockett,"Mia Goth, Ti West","Kid Cudi, Kevin Turen, Mia Goth, Peter Phok, Sam Levinson, Dennis Cummings, Ti West, Karina Manashil, Jacob Jaffke, Harrison Kreiss, Ashley Levinson","Tim Williams, Tyler Bates",7,151774,/z5uIG81pXyHKg7cUFIu84Wjn4NS.jpg
Pee Mak,184219,7.2,130,41361,33000000,112,1800000,tt2776344,th,พี่มาก..พระโขนง,"Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love.",4.6128,The legendary love story of pee mak and his ghost wife nak.,"Comedy, Romance, Horror","GMM Tai Hub (GTH), Jor Kwang Films",Thailand,ภาษาไทย,"Patitta Thinrat, Sirinuch Petchurai, Nimit Luksameepong, Kantapat Permpoonpatcharasuk, Nuttakorn Ninsuwan, Sean Jindachot, Narinchote Khowbunyarasri, Margaret Roche, Pacharaporn Hitanant, Davika Hoorne, Jongruay Somjinna, Apisak Chuachan, Carl Sieling Wolf, Pongsatorn Jongwilas, Wimmer Detlef, Wasin Kerdnana, Satdha Sutdhathip, Nattapong Chatpong, Siwawut Sewatanon, Freddy Van De Veire, Thanakit Pramyen, Attharut Kongrasri, Chalao Sukpoom, Mario Maurer, Svetlana Vladimirovna Ledbetter, Sasiliya Mangkornhiransiree, Kwanchai Pimkorn, Fun Kongyon",Banjong Pisanthanakun,Naruphol Chokanapitak,"Nontra Kumwong, Chantavit Dhanasevi, Banjong Pisanthanakun","Paiboon Damrongchaitham, Chenchonnee Soonthornsaratul, Vanridee Pongsittisak, Boosaba Daorueng, Suwimon Techasupinan, Saithip Montrikun Na Ayudhaya, Jina Osothsilp","Chatchai Pongprapaphan, Hualampong Riddim",7.2,7163,/5gY0EPvTdeGjEEIQ7337ZxHXV55.jpg
People Like Us,98548,6.8,632,41089,12434778,114,16000000,tt1716777,en,People Like Us,"After flying home to L.A. for the funeral of his estranged record-producer father, a struggling man discovers that the will stipulates that he must deliver $150,000 in cash to a 30-year-old alcoholic sister he never knew existed, and her troubled 12-year-old son.",2.5146,Find your family.,Drama,"Touchstone Pictures, DreamWorks Pictures",United States of America,English,"Mark Duplass, Sheila Shaw, Ken Barnett, Sara Mornell, Christiann Castellanos, Rif Hutton, Stephanie Bast, Paul Sanchez, Jon Morgan Woodward, Steve Alterman, David Burrus, LeShay N. Tomlinson, Moosie Drier, Rob Brownstein, Katy Boyer, Darren O'Hare, Chris Pine, Nick Smoke, Barbara Eve Harris, Elizabeth Banks, Gabriela Milla, Tara Inden, Amanda Young, Joseph Wise, Olivia Wilde, David Zyler, Abhi Sinha, Michael Hall D'Addario, Maximilian Osinski, Philip Baker Hall, Liza del Mundo, Devin Brochu, Katherine Sigismund, Pippa Hinchley, Jon Favreau, Shaughn Buchholz, Michelle Pfeiffer, David Kelsey, Dean Chekvala",Alex Kurtzman,Salvatore Totino,"Jody Lambert, Roberto Orci, Alex Kurtzman","Roberto Orci, Clayton Townsend, Bobby Cohen",A.R. Rahman,7,44842,/aXfIwSJogLjQdmX9Qzhkeuv3HQI.jpg
Pet Sematary,157433,5.7,3325,43559,113118226,100,21000000,tt0837563,en,Pet Sematary,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.",4.5946,Sometimes dead is better.,Horror,"di Bonaventura Pictures, Paramount Pictures",United States of America,English,"Ambre Dioh-Dikongué, Jacob Lemieux, Emma Hill, Lou Ferrando, Obssa Ahmed, Naomi Frenette, Maverick Fortin, Sonia Maria Chirila, Kelly Lee, Linda E. Smith, Nina Lauren, Constance St-Denis-Veilleux, Alison O'Donnell, John Lithgow, Bailey Thain, Jeté Laurence, Suzi Stingl, Najya Muipatayi, Amy Seimetz, Hugo Lavoie, Maria Herrera, Tonic, Simon Pelletier-Gilbert, Alyssa Brooke Levine, Ines Feghouli Bozon, Lucas Lavoie, Frank Schorpion, Raphaël Laporte, Jason Clarke","Kevin Kölsch, Dennis Widmyer",Laurie Rose,"Matt Greenberg, Jeff Buhler, Stephen King","Lorenzo di Bonaventura, Mark Moran, Steven Schneider, Mark Vahradian",Christopher Young,5.7,103448,/7SPhr7Qj39vbnfF9O2qHRYaKHAL.jpg
Peter Pan's Neverland Nightmare,1020414,5.8,185,45670,1196497,89,250000,tt21955520,en,Peter Pan's Neverland Nightmare,"Wendy Darling strikes out in an attempt to rescue her brother Michael from the clutches of the evil Peter Pan who intends to send him to Neverland. Along the way she meets a twisted Tinkerbell, who is hooked on what she thinks is fairy dust.",3.8342,He's every parent's worst nightmare.,"Horror, Thriller, Fantasy","Jagged Edge Productions, ITN Studios",United Kingdom,English,"Charlotte Coleman, Amanda Jane York, Helen Fullerton, Elgin Lee, Olumide Olorunfemi, William Dallaway, Carla Lisa Roberts, Aryan Rahman, Evelyn Morris, Jenny Miller, Lucas Allermann, Dan McGee, Rhys Frake-Waterfield, Adam Speers, Jay Robertson, Nicholas Woodeson, Charity Kase, Campbell Wallace, Nicola Gourley, Samm Legh, Peter DeSouza-Feighoney, Teddy Darnell, Kylo Stringer, Myles Perry, Rachel Daphne Oneale, Hector Uden, Mason Stanley Gold, Dan Allen, Harry Clarke, Chrissie Wunna, Lawrence Wheeler-Neale, Nicola Wright, Ruby Hemingway, Ludo Bishop, Christian Liyanage Fernando, Frederick Dallaway, Sérgio Silva, Elijah Dyer, Danielle Scott, Lyndon Stevens, Kelly Rian Sanson, Krystal Pentland, Elliott Jack Flynn, Riley Bottomley, Teresa Banham, Kristian Burton, Kenny Darnell, John Pond, Riccardo Carmelita, Natasha Tosini, Ardy Yusuf, Megan Placito, Holden M N Smith, Joseph Lloyd Rosser, Sarah Cox, Llifon Ashton, Taylor Simner, Eddy MacKenzie, Lila Lasso, Felix Uden, Kevin Badu, Martin Portlock, Isaac Bishop, Bevan Thomas, Kit Green, Lewis Santer, Szilvia Réka Szabó, Callum Hymers, Jamie Robertson, Veronica Koval-Meth, Oscar Hastings, Belinda Fenty, Kierston Wareing",Scott Chambers,Vince Knight,"J.M. Barrie, Scott Chambers","Stuart Alson, Nicole Holland, Rhys Frake-Waterfield, Scott Chambers",Greg Birkumshaw,4.8,4217,/nwSPqhDLBx5PuOxYiV68CUyPDQS.jpg
Peter Rabbit,381719,6.7,1857,43138,351266433,93,50000000,tt5117670,en,Peter Rabbit,Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door.,5.4028,Who said the countryside was peaceful?,"Animation, Adventure, Family","Columbia Pictures, Olive Bridge Entertainment, Screen Australia, Screen NSW, Sony Pictures Animation, Animal Logic, MRC","Australia, United States of America",English,"Sam Haft, Fayssal Bazzi, Bryan Brown, Karl Farrer, Domhnall Gleeson, Tom Greaves, Sam Neill, Taryn Gluck, Katharine Hoye, Élodie Fontan, Alexandra Gluck, Fletcher Sheridan, Natalie Dew, Philippe Lacheau, Julien Arruti, David Wenham, Marianne Jean-Baptiste, Colin Moody, Vauxhall Jermaine, Rose Byrne, Ewen Leslie, Gareth Davies, Christian Gazal, Grant Crookes, Rachel Ward, Shana Halligan, Sia, Jessica Friedman, Sacha Horler, Lance Kerfuffle, Terenia Edwards, Will Reichelt, James Corden, Elizabeth Debicki, Ming-Zhu Hii, Daisy Ridley, Felix Williamson, Alex Blias, Margot Robbie, Dave Lawson, Chris Mann, Chad Reisser",Will Gluck,Peter Menzies Jr.,"Beatrix Potter, Rob Lieber, Will Gluck","Zareh Nalbandian, Will Gluck",Dominic Lewis,6.6,51703,/lugOvdaNpbVGQK9TyMRDiUbLtY6.jpg
Petite Maman,749004,7.2,414,44349,1024575,72,3100000,tt13204490,fr,Petite Maman,"After the death of her beloved grandmother, eight-year-old Nelly meets a strangely familiar girl her own age in the woods. Instantly forming a connection with this mysterious new friend, Nelly embarks on a fantastical journey of discovery which helps her come to terms with this newfound loss.",1.5133,Experience a fairytale of wonder and innocence.,"Drama, Fantasy, Family","Lilies Films, France 3 Cinéma",France,"Français, English, Português","Nina Meurisse, Stéphane Varupenne, Gabrielle Sanz, Josée Schuller, Margot Abascal, Florès Cardo, Guylène Péan, Joséphine Sanz",Céline Sciamma,Claire Mathon,Céline Sciamma,Bénédicte Couvreur,Para One,7.4,20189,/fxl2ARZO2vRfUGDfqSz2bostauE.jpg
Philomena,205220,7.4,1655,41579,100100000,98,12000000,tt2431286,en,Philomena,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",2.9312,These two unlikely companions are on a journey to find her long lost son.,Drama,"Baby Cow Productions, BBC Film, Magnolia Mae Films, BFI, Pathe",United Kingdom,English,"Jon Wennington, Charles Edwards, Steve Coogan, Wunmi Mosaku, Marie Jones, Tadhg Bowen, Peter Hermann, Gary Lilburn, Nika McGuigan, Michelle Fairley, Charlie Murphy, Cathy Belton, Charissa Shearer, Amy McAllister, Rachel Wilcock, Jordan King, Kate Fleetwood, Sophie Kennedy Clark, Timothy Paul Jobe, Harrison D'Ampney, George Michael Rados, Florence Keith-Roach, Roxanne Gregory, Nicholas Jones, Judi Dench, Simone Lahbib, Saoirse Bowen, Sean Mahon, Vaughn Johseph, Rita Hamill, George Fisher, Frankie McCafferty, Barbara Jefford, Paris Arrowsmith, Mare Winningham, Amber Batty, Elliot Levey, Anna Maxwell Martin, Martin Glyn Murray, Sara Stewart, Ruth McCabe, D.J. McGrath",Stephen Frears,Robbie Ryan,"Jeff Pope, Steve Coogan, Martin Sixsmith","Henry Normal, Steve Coogan, Christine Langan, Tracey Seaward, Gabrielle Tana, Cameron McCracken, Carolyn Marks Blackwood, François Ivernel",Alexandre Desplat,7.6,106545,/eBUv2GmGdXmCk1AaSOmyiu70hN8.jpg
Phoenix Forgotten,443319,6,302,42846,3600000,87,2800000,tt6574272,en,Phoenix Forgotten,"Twenty years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition.",1.798,"Based on Shocking, Untold True Events.","Horror, Mystery, Science Fiction","Cinelou Films, The Fyzz Facility, Atmosphere Entertainment MM, Scott Free Productions","United Kingdom, United States of America",English,"Mark Marron, Gwyn Draime, Tom Moran, Joann Lizarrago, James Coyle, Young Yoon, Clint Jordan, Jeanine Jackson, Richard Cansino, Joy Ludwig, Pat Kaye, Karla Van Wagner, David Carrera, Joseph J. LaRocca, Chelsea Lopez, Martin J. Riddell, Adam Redhouse, Justin Matthews, Mary McCarthy, Florence Hartigan, Hector Luis Bustamante, Isabella Abiera, Elizabeth Benjamin Rae, Tony Duncan, Don Boyd, Luke Spencer Roberts, Cynthia Quiles, Daniel Korman, Gene Kerckaert, Adriana Natale, Magdaleno Martin, Cyd Strittmatter, Roberto Medina, Gaylord Flynn, Serendipity Lilliana, Matt Biedel, Alfred Ontivira, Kevin Boontjer, Sierra Marshall, Abby Linden, Lawrence H. Toffler, Garth Pillsbury, David Feld, Peter Jewitt, Darianne Galden, Michael Pitruzella, Elizabeth Ruíz, Jonathan Schmock, Juan Manzo-Flores, Jay Pirouznia, Natalia Lett, Ana Dela Cruz, Lorenzo Hughes, Dennis Keith Draime",Justin Barber,Jay Keitel,"T.S. Nowlin, Justin Barber","Fredy Bush, T.S. Nowlin, Tom Moran, Wei Cheng Yu, Robert Jones, Cai Jain, Michael Schaefer, David Hopwood, Courtney Solomon, Ridley Scott, Scott Karol, Wes Ball, Wayne Marc Godfrey, Dennis Pelino, Mark Canton","Mike Schanzlin, Mike Griffin",5.4,7584,/q0BbjmTPSqF1QnZxHNc1GQ4JIHc.jpg
Pig,635731,6.7,1598,44393,4638959,92,3000000,tt11003218,en,Pig,A truffle hunter who lives alone in the Oregon wilderness must visit Portland to find the mysterious person who stole his beloved foraging pig.,3.6112,We don’t get a lot of things to really care about.,"Drama, Mystery, Thriller","AI Film, Pulse Films, Saturn Films, Valparaiso Pictures, BlockBox Entertainment, Endeavor Content","United Kingdom, United States of America",English,"Jamie Martin Stewart, Gretchen Corbett, Parker Green, Alex Wolff, Elijah Ungvary, Troy Oelke, Sean Tarjyoto, Christian Wilson, Nicolas Cage, Cody Burns, Nina Belforte, Brian Sutherland, Dalene Young, Darius Pierce, Davis King, October Moore, Bill Salfelder, Dana Millican, Tom Walton, Julia Bray, Daniel Vasic, Kent W. Luttrell, David Knell, Kevin-Michael Moore, Adam Arkin, Jovani Ridler, Beth Harper, Cassandra Violet, David Shaughnessy, Kieran Thomas",Michael Sarnoski,Pat Scola,"Vanessa Block, Michael Sarnoski","Aviv Giladi, Dimitra Tsingou, Thomas Benski, Robert Bartner, Yara Shoemaker, Nicolas Cage, Marisa Clifford, Tim O'Shea, Adam Paulsen, Dori A. Rath, Michael Sarnoski, Len Blavatnik, Bobby Hoppey, Ben Giladi, Vanessa Block, David Carrico, Danny Cohen, Steve Tisch, Vince Holden, Joseph Restaino, Michael Diamond","Philip Klein, Alexis Grapsas",6.9,102292,/1InMm4Mbjx8wCKvIy5gglo5i3HN.jpg
Piku,332835,7.1,207,42132,22159216,123,5500000,tt3767372,hi,पीकू,A taxi driver is caught between a dysfunctional relationship between a woman and her father as he drives them to Kolkata.,2.9931,Motion Se Hi Emotion.,"Comedy, Drama","Rising Sun Films, MSM Motion Pictures, Saraswati Entertainment Creations Limited, Yash Raj Films",India,"বাংলা, हिन्दी","Moushumi Chatterjee, Amitabh Bachchan, Swaroopa Ghosh, Deepika Padukone, Raghubir Yadav, Avijit Dutt, Irrfan Khan, Jisshu Sengupta, Aniruddha Roy Chowdhury, Akshay Oberoi",Shoojit Sircar,Kamaljeet Negi,Juhi Chaturvedi,"Ronnie Lahiri, N.P. Singh, Kumar Thakur, Sneha Rajani","Sudhin Dasgupta, Anupam Roy",7.6,36210,/P3Nyfzr3TtfTJ7dEq10zVv5oY0.jpg
Pineapple Express,10189,6.64,4004,39666,101624843,111,27000000,tt0910936,en,Pineapple Express,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,3.6693,Put this in your pipe and smoke it.,"Action, Comedy, Crime","Columbia Pictures, Relativity Media, Apatow Productions",United States of America,"广州话 / 廣州話, English, 한국어/조선말","Seth Rogen, Carlos Aleman, David C. Cook, Howard S. Lefstein, Jourdan Lee, Bill Hader, Eddie Rouse, Kendall Carly Browne, Kevin Corrigan, Robert Longstreet, Jack Kehler, Troy Gentile, Nora Dunn, Jonathan Spencer, Jeannetta Arnette, Mae LaBorde, Bobby Lee, Connie Sawyer, Dana Lee, Art Napiontek, Sam Carson, Brian Scannell, James Franco, George Lew, Danny McBride, David McDivitt, Peter Gray Lewis, Craig Robinson, Andrew Heald, Cleo King, James Remar, Joe Lo Truglio, Ed Begley Jr., Rosie Perez, Ken Jeong, Adam Crosby, Gary Cole, Amber Heard, John Robert Tramutola, Omar Leyva, Steve Bannos, Mark Whigham",David Gordon Green,Tim Orr,"Evan Goldberg, Seth Rogen, Judd Apatow","Shauna Robertson, Evan Goldberg, Seth Rogen, Judd Apatow",Graeme Revell,6.9,369227,/6E50WjeOYjDZg9HXgPjYdGtY2jG.jpg
Piranha 3DD,71668,4.323,1107,41040,8493728,83,5000000,tt1714203,en,Piranha 3DD,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",5.6704,Twice the Teeth. Twice the Terror.,"Horror, Thriller, Comedy","Dimension Films, Mark Canton Productions, Intellectual Properties Worldwide",United States of America,English,"Katrina Bowden, Jean-Luc Bilodeau, Paul Scheer, Alisa Harris, Nate Panning, Sarah Wilson, Adrian Martinez, Paul James Jordan, David Hasselhoff, Ving Rhames, Chris Zylka, Irina Voronina, Kathy Sue Holtorf, Matt Bush, Tabitha Taylor, Sylvia Jefferies, Meagan Tandy, Rozlyn Papa, David Koechner, Danielle Panabaker, Jenna Hurt, Katie Garner, Gary Busey, Stacy Rabon, Lilith Fury, Clu Gulager, Christopher Lloyd, Sierra Fisk, Matt Lintz",John Gulager,Alexandre Lehmann,"Pete Goldfinger, Joel Soisson, Patrick Melton, Josh Stolberg, Marcus Dunstan","Harvey Weinstein, Mark Canton, Joel Soisson, Marc Toberoff, Bob Weinstein",Elia Cmiral,3.8,47435,/eOLA3IrZATSz5FQ6fmG0Q6sSVyq.jpg
